Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Rated Ripple1(mArms),Rated Ripple2(mArms),ESR(mΩ)（20℃/100kHz）,ESR(mΩ) (-40℃/100kHz）,ESR(mΩ) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (mΩ)(-10℃/100kHz),Impedance (mΩ)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
PLS0E331MCO8,NRND,2.5,330.00,6.3,9.0,-55,105,5000,0.45,0.08,500,4800,,8,,,,,,3000,Radial Lead,Long Life,Uni-Polar,Normal
PLS0E681MCL2,NRND,2.5,680.00,8.0,7.0,-55,105,5000,0.55,0.08,340,3900,,15,,,,,,2000,Radial Lead,Long Life,Uni-Polar,Normal
PLS0E821MCO8,NRND,2.5,820.00,6.3,9.0,-55,105,5000,0.45,0.08,500,4800,,8,,,,,,3000,Radial Lead,Long Life,Uni-Polar,Normal
PLS0E821MCO6,NRND,2.5,820.00,8.0,9.0,-55,105,5000,0.75,0.08,410,5200,,7,,,,,,2000,Radial Lead,Long Life,Uni-Polar,Normal
PLS0E821MDO1,NRND,2.5,820.00,8.0,12.0,-55,105,5000,0.95,0.08,410,5800,,7,,,,,,2000,Radial Lead,Long Life,Uni-Polar,Normal
PLS0E152MDO1,NRND,2.5,1500.00,10.0,13.0,-55,105,5000,1.50,0.08,750,5500,,8,,,,,,1000,Radial Lead,Long Life,Uni-Polar,Normal
PLS0G271MCO8,NRND,4.0,270.00,6.3,9.0,-55,105,5000,0.45,0.08,500,4800,,8,,,,,,3000,Radial Lead,Long Life,Uni-Polar,Normal
PLS0G561MCL2,NRND,4.0,560.00,8.0,7.0,-55,105,5000,0.55,0.08,448,3900,,15,,,,,,2000,Radial Lead,Long Life,Uni-Polar,Normal
PLS0G561MCO6,NRND,4.0,560.00,8.0,9.0,-55,105,5000,0.75,0.08,448,5200,,7,,,,,,2000,Radial Lead,Long Life,Uni-Polar,Normal
PLS0G681MDO1,NRND,4.0,680.00,8.0,12.0,-55,105,5000,0.95,0.08,544,5800,,7,,,,,,2000,Radial Lead,Long Life,Uni-Polar,Normal
PLS0G122MDO1,NRND,4.0,1200.00,10.0,13.0,-55,105,5000,1.50,0.08,960,5500,,8,,,,,,1000,Radial Lead,Long Life,Uni-Polar,Normal
PLS0J331MDL4,NRND,6.3,330.00,6.3,10.5,-55,105,5000,0.50,0.08,416,3000,,20,,,,,,3000,Radial Lead,Long Life,Uni-Polar,Normal
PLS0J391MCL2,NRND,6.3,390.00,8.0,7.0,-55,105,5000,0.55,0.08,491,3900,,15,,,,,,2000,Radial Lead,Long Life,Uni-Polar,Normal
PLS0J471MDO1,NRND,6.3,470.00,8.0,12.0,-55,105,5000,0.95,0.08,592,5500,,7,,,,,,2000,Radial Lead,Long Life,Uni-Polar,Normal
PLS0J561MCO8,NRND,6.3,560.00,6.3,9.0,-55,105,5000,0.45,0.08,706,4300,,9,,,,,,3000,Radial Lead,Long Life,Uni-Polar,Normal
PLS0J561MCO6,NRND,6.3,560.00,8.0,9.0,-55,105,5000,0.75,0.08,706,5000,,8,,,,,,2000,Radial Lead,Long Life,Uni-Polar,Normal
PLS0J821MDO1,NRND,6.3,820.00,10.0,13.0,-55,105,5000,1.50,0.08,1033,5500,,8,,,,,,1000,Radial Lead,Long Life,Uni-Polar,Normal
PLS1A151MDL4,NRND,10.0,150.00,6.3,10.5,-55,105,5000,0.50,0.08,300,3000,,20,,,,,,3000,Radial Lead,Long Life,Uni-Polar,Normal
PLS1A271MDO1,NRND,10.0,270.00,8.0,12.0,-55,105,5000,0.95,0.08,540,4900,,8,,,,,,2000,Radial Lead,Long Life,Uni-Polar,Normal
PLS1A471MDO1,NRND,10.0,470.00,10.0,13.0,-55,105,5000,1.50,0.08,940,5500,,8,,,,,,1000,Radial Lead,Long Life,Uni-Polar,Normal
PLS1C101MDL4,NRND,16.0,100.00,6.3,10.5,-55,105,5000,0.50,0.08,320,2800,,24,,,,,,3000,Radial Lead,Long Life,Uni-Polar,Normal
PLS1C271MDO1,NRND,16.0,270.00,8.0,12.0,-55,105,5000,0.95,0.08,864,4500,,9,,,,,,2000,Radial Lead,Long Life,Uni-Polar,Normal
PLS1C331MDO1,NRND,16.0,330.00,10.0,13.0,-55,105,5000,1.50,0.08,1056,4700,,9,,,,,,1000,Radial Lead,Long Life,Uni-Polar,Normal
PLS1C471MDO1,NRND,16.0,470.00,10.0,13.0,-55,105,5000,1.50,0.08,1504,4700,,9,,,,,,1000,Radial Lead,Long Life,Uni-Polar,Normal
