Voltage,Capacitance,Dissipation Factor,Case Size Diameter,Case Size Length,Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),ESR(est.) 20°C@120Hz,Endurance,Leakage Current,Minimum Quantity,Part Number,Polarity type,Product category,Product summary,Ripple Current 105°C@100kHz,Ripple Current 105°C@10kHz,Ripple Current 105°C@120Hz,Ripple Current 105°C@1kHz,Status,VC,Vibration resistant,Weight (g)
10,100,0.45,5,11,-40,105,5.968,10000,10,6000,ULD1A101MDD,Uni-Polar,Radial Lead,Minitualized Long Life,130,123.64,90.91,110,EOL,1000,Normal,0.44
10,220,0.45,6.3,11,-40,105,2.713,10000,22,4000,ULD1A221MED,Uni-Polar,Radial Lead,Minitualized Long Life,210,199.72,146.85,177.69,EOL,2200,Normal,0.59
10,330,0.45,8,11.5,-40,105,1.809,10000,33,3000,ULD1A331MPD,Uni-Polar,Radial Lead,Minitualized Long Life,330,313.85,230.77,279.23,MP,3300,Normal,1.19
16,47,0.35,5,11,-40,105,9.877,10000,8,6000,ULD1C470MDD,Uni-Polar,Radial Lead,Minitualized Long Life,130,115.56,72.22,101.11,EOL,752,Normal,0.44
16,47,0.35,5,11,-40,105,9.877,10000,8,6000,ULD1C470MDD,Uni-Polar,Radial Lead,Minitualized Long Life,130,123.64,90.91,110,EOL,752,Normal,0.44
16,100,0.35,6.3,11,-40,105,4.642,10000,16,4000,ULD1C101MED,Uni-Polar,Radial Lead,Minitualized Long Life,210,199.72,146.85,177.69,EOL,1600,Normal,0.59
16,150,0.35,6.3,11,-40,105,3.095,10000,24,4000,ULD1C151MED,Uni-Polar,Radial Lead,Minitualized Long Life,210,199.72,146.85,177.69,EOL,2400,Normal,0.59
16,220,0.35,8,11.5,-40,105,2.11,10000,35,3000,ULD1C221MPD,Uni-Polar,Radial Lead,Minitualized Long Life,330,313.85,230.77,279.23,MP,3520,Normal,1.19
16,270,0.35,8,11.5,-40,105,1.719,10000,43,3000,ULD1C271MPD,Uni-Polar,Radial Lead,Minitualized Long Life,330,313.85,230.77,279.23,MP,4320,Normal,1.19
25,33,0.3,5,11,-40,105,12.057,10000,8,6000,ULD1E330MDD,Uni-Polar,Radial Lead,Minitualized Long Life,130,115.56,72.22,101.11,EOL,825,Normal,0.44
25,47,0.3,5,11,-40,105,8.466,10000,12,6000,ULD1E470MDD,Uni-Polar,Radial Lead,Minitualized Long Life,130,115.56,72.22,101.11,EOL,1175,Normal,0.44
25,47,0.3,5,11,-40,105,8.466,10000,12,6000,ULD1E470MDD,Uni-Polar,Radial Lead,Minitualized Long Life,130,123.64,90.91,110,EOL,1175,Normal,0.44
25,100,0.3,6.3,11,-40,105,3.979,10000,25,4000,ULD1E101MED,Uni-Polar,Radial Lead,Minitualized Long Life,210,199.72,146.85,177.69,EOL,2500,Normal,0.59
25,150,0.3,8,11.5,-40,105,2.653,10000,38,3000,ULD1E151MPD,Uni-Polar,Radial Lead,Minitualized Long Life,330,313.85,230.77,279.23,MP,3750,Normal,1.19
35,33,0.22,5,11,-40,105,8.842,10000,12,6000,ULD1V330MDD,Uni-Polar,Radial Lead,Minitualized Long Life,130,115.56,72.22,101.11,EOL,1155,Normal,0.44
35,47,0.22,6.3,11,-40,105,6.208,10000,16,4000,ULD1V470MED,Uni-Polar,Radial Lead,Minitualized Long Life,210,186.67,116.67,163.33,EOL,1645,Normal,0.59
35,47,0.22,6.3,11,-40,105,6.208,10000,16,4000,ULD1V470MED,Uni-Polar,Radial Lead,Minitualized Long Life,210,199.72,146.85,177.69,EOL,1645,Normal,0.59
35,100,0.22,8,11.5,-40,105,2.918,10000,35,3000,ULD1V101MPD,Uni-Polar,Radial Lead,Minitualized Long Life,330,313.85,230.77,279.23,MP,3500,Normal,1.19
50,1,0.19,5,11,-40,105,251.996,10000,3,6000,ULD1H010MDD,Uni-Polar,Radial Lead,Minitualized Long Life,25,,,,EOL,50,Normal,0.44
50,2.2,0.19,5,11,-40,105,114.543,10000,3,6000,ULD1H2R2MDD,Uni-Polar,Radial Lead,Minitualized Long Life,35,31.5,17.5,28,EOL,110.00000000000001,Normal,0.44
50,3.3,0.19,5,11,-40,105,76.362,10000,3,6000,ULD1H3R3MDD,Uni-Polar,Radial Lead,Minitualized Long Life,70,63,35,56,EOL,165,Normal,0.44
50,4.7,0.19,5,11,-40,105,53.616,10000,3,6000,ULD1H4R7MDD,Uni-Polar,Radial Lead,Minitualized Long Life,80,72,40,64,EOL,235,Normal,0.44
50,6.8,0.19,5,11,-40,105,37.058,10000,3,6000,ULD1H6R8MDD,Uni-Polar,Radial Lead,Minitualized Long Life,80,71.58,42.11,63.16,EOL,340,Normal,0.44
50,10,0.19,5,11,-40,105,25.2,10000,5,6000,ULD1H100MDD,Uni-Polar,Radial Lead,Minitualized Long Life,90,80.53,47.37,71.05,EOL,500,Normal,0.44
50,22,0.19,5,11,-40,105,11.454,10000,11,6000,ULD1H220MDD,Uni-Polar,Radial Lead,Minitualized Long Life,135,120,75,105,EOL,1100,Normal,0.44
50,22,0.19,5,11,-40,105,11.454,10000,11,6000,ULD1H220MDD,Uni-Polar,Radial Lead,Minitualized Long Life,135,121.65,74.18,100.88,EOL,1100,Normal,0.44
50,33,0.19,6.3,11,-40,105,7.636,10000,17,4000,ULD1H330MED,Uni-Polar,Radial Lead,Minitualized Long Life,190,168.89,105.56,147.78,EOL,1650,Normal,0.59
50,47,0.19,6.3,11,-40,105,5.362,10000,24,4000,ULD1H470MED,Uni-Polar,Radial Lead,Minitualized Long Life,190,168.89,105.56,147.78,EOL,2350,Normal,0.59
50,47,0.19,6.3,11,-40,105,5.362,10000,24,4000,ULD1H470MED,Uni-Polar,Radial Lead,Minitualized Long Life,190,180.7,132.87,160.77,EOL,2350,Normal,0.59
50,100,0.19,8,11.5,-40,105,2.52,10000,50,3000,ULD1H101MPD,Uni-Polar,Radial Lead,Minitualized Long Life,270,256.78,188.81,228.46,MP,5000,Normal,1.19
63,10,0.17,5,11,-40,105,22.547,10000,6,6000,ULD1J100MDD,Uni-Polar,Radial Lead,Minitualized Long Life,80,71.58,42.11,63.16,EOL,630,Normal,0.44
