Series,Manufacturer,Voltage,Capacitance,ESR(est.) 20°C@10kHz,ESR/Z 20°C@100kHz,Case Size Diameter,Case Size Length
esw,kemet,6.3,150,,,5,11
esw,kemet,6.3,330,,,6.3,11
esw,kemet,6.3,470,,,6.3,11
esw,kemet,6.3,680,,,8,11
esw,kemet,6.3,820,,,10,12.5
esw,kemet,6.3,1000,,,8,15
esw,kemet,6.3,1200,,,8,20
esw,kemet,6.3,1200,,,10,16
esw,kemet,6.3,1500,,,8,20
esw,kemet,6.3,1500,,,10,16
esw,kemet,6.3,1500,,,10,20
esw,kemet,6.3,1800,,,13,16
esw,kemet,6.3,2200,,,10,20
esw,kemet,6.3,2200,,,10,25
esw,kemet,6.3,2700,,,10,30
esw,kemet,6.3,2700,,,16,16
esw,kemet,6.3,3300,,,10,25
esw,kemet,6.3,3300,,,13,20
esw,kemet,6.3,3900,,,13,25
esw,kemet,6.3,3900,,,18,16
esw,kemet,6.3,4700,,,13,30
esw,kemet,6.3,5600,,,13,35
esw,kemet,6.3,5600,,,16,20
esw,kemet,6.3,6800,,,13,40
esw,kemet,6.3,6800,,,16,25
esw,kemet,6.3,6800,,,18,20
esw,kemet,6.3,8200,,,16,32
esw,kemet,6.3,10000,,,16,36
esw,kemet,6.3,10000,,,18,25
esw,kemet,6.3,12000,,,18,32
esw,kemet,6.3,15000,,,18,36
esw,kemet,10,100,,,5,11
esw,kemet,10,220,,,6.3,11
esw,kemet,10,470,,,8,11
esw,kemet,10,680,,,8,15
esw,kemet,10,820,,,10,12.5
esw,kemet,10,1000,,,8,20
esw,kemet,10,1000,,,10,16
esw,kemet,10,1200,,,10,20
esw,kemet,10,1500,,,10,25
esw,kemet,10,1500,,,13,16
esw,kemet,10,2200,,,10,30
esw,kemet,10,2200,,,13,20
esw,kemet,10,2200,,,16,16
esw,kemet,10,2700,,,18,16
esw,kemet,10,3300,,,10,30
esw,kemet,10,3300,,,13,25
esw,kemet,10,3900,,,13,30
esw,kemet,10,3900,,,16,20
esw,kemet,10,4700,,,13,35
esw,kemet,10,5600,,,13,40
esw,kemet,10,5600,,,16,25
esw,kemet,10,5600,,,18,20
esw,kemet,10,6800,,,16,32
esw,kemet,10,6800,,,18,25
esw,kemet,10,8200,,,16,36
esw,kemet,10,8200,,,18,32
esw,kemet,10,10000,,,16,40
esw,kemet,10,10000,,,18,36
esw,kemet,10,15000,,,18,40
esw,kemet,16,56,,,5,11
esw,kemet,16,100,,,6.3,11
esw,kemet,16,120,,,6.3,11
esw,kemet,16,220,,,6.3,11
esw,kemet,16,220,,,8,11
esw,kemet,16,330,,,8,11
esw,kemet,16,470,,,8,15
esw,kemet,16,470,,,8,20
esw,kemet,16,470,,,10,12.5
esw,kemet,16,470,,,10,16
esw,kemet,16,680,,,8,20
esw,kemet,16,680,,,10,16
esw,kemet,16,1000,,,8,20
esw,kemet,16,1000,,,10,16
esw,kemet,16,1000,,,10,20
esw,kemet,16,1000,,,13,16
esw,kemet,16,1200,,,10,25
esw,kemet,16,1500,,,10,30
esw,kemet,16,1500,,,13,20
esw,kemet,16,1500,,,16,16
esw,kemet,16,2200,,,13,25
esw,kemet,16,2200,,,18,16
esw,kemet,16,2700,,,13,30
esw,kemet,16,2700,,,16,20
esw,kemet,16,3300,,,13,35
esw,kemet,16,3900,,,13,40
esw,kemet,16,3900,,,16,25
esw,kemet,16,3900,,,18,20
esw,kemet,16,4700,,,16,32
esw,kemet,16,4700,,,18,25
esw,kemet,16,5600,,,16,36
esw,kemet,16,5600,,,18,32
esw,kemet,16,6800,,,16,40
esw,kemet,16,8200,,,18,36
esw,kemet,16,10000,,,18,40
esw,kemet,25,47,,,5,11
esw,kemet,25,100,,,6.3,11
esw,kemet,25,150,,,8,11
esw,kemet,25,220,,,8,11
esw,kemet,25,330,,,8,15
esw,kemet,25,330,,,10,12.5
esw,kemet,25,470,,,8,20
esw,kemet,25,470,,,10,12.5
esw,kemet,25,470,,,10,16
esw,kemet,25,680,,,10,20
esw,kemet,25,680,,,13,16
esw,kemet,25,820,,,10,25
esw,kemet,25,1000,,,10,30
esw,kemet,25,1000,,,13,20
esw,kemet,25,1000,,,16,16
esw,kemet,25,1200,,,18,16
esw,kemet,25,1500,,,13,20
esw,kemet,25,1500,,,13,25
esw,kemet,25,1800,,,13,30
esw,kemet,25,1800,,,16,20
esw,kemet,25,2200,,,13,35
esw,kemet,25,2200,,,18,20
esw,kemet,25,2700,,,13,40
esw,kemet,25,2700,,,16,25
esw,kemet,25,3300,,,16,32
esw,kemet,25,3300,,,18,25
esw,kemet,25,3900,,,18,32
esw,kemet,25,4700,,,18,36
esw,kemet,25,6800,,,18,40
esw,kemet,35,4.7,,,5,11
esw,kemet,35,10,,,5,11
esw,kemet,35,33,,,5,11
esw,kemet,35,47,,,6.3,11
esw,kemet,35,56,,,6.3,11
esw,kemet,35,68,,,6.3,15
esw,kemet,35,82,,,6.3,15
esw,kemet,35,100,,,8,11
esw,kemet,35,150,,,8,11
esw,kemet,35,220,,,8,15
esw,kemet,35,220,,,10,12.5
esw,kemet,35,270,,,8,20
esw,kemet,35,330,,,10,16
esw,kemet,35,330,,,10,20
esw,kemet,35,470,,,10,20
esw,kemet,35,470,,,13,16
esw,kemet,35,560,,,10,25
esw,kemet,35,680,,,10,30
esw,kemet,35,680,,,13,20
esw,kemet,35,680,,,16,16
esw,kemet,35,820,,,13,20
esw,kemet,35,1000,,,13,25
esw,kemet,35,1000,,,18,16
esw,kemet,35,1200,,,13,30
esw,kemet,35,1200,,,16,20
esw,kemet,35,1500,,,13,35
esw,kemet,35,1800,,,13,40
esw,kemet,35,1800,,,16,25
esw,kemet,35,1800,,,18,20
esw,kemet,35,2200,,,16,32
esw,kemet,35,2200,,,18,25
esw,kemet,35,2700,,,16,36
esw,kemet,35,2700,,,18,32
esw,kemet,35,3300,,,16,40
esw,kemet,35,3300,,,18,36
esw,kemet,35,4700,,,18,40
esw,kemet,50,2.2,,,5,11
esw,kemet,50,4.7,,,5,11
esw,kemet,50,10,,,5,11
esw,kemet,50,22,,,5,11
esw,kemet,50,33,,,6.3,11
esw,kemet,50,47,,,6.3,11
esw,kemet,50,56,,,6.3,15
esw,kemet,50,100,,,8,11
esw,kemet,50,120,,,8,15
esw,kemet,50,150,,,10,12.5
esw,kemet,50,180,,,8,20
esw,kemet,50,220,,,10,16
esw,kemet,50,270,,,10,20
esw,kemet,50,270,,,13,16
esw,kemet,50,330,,,10,20
esw,kemet,50,330,,,10,25
esw,kemet,50,470,,,10,30
esw,kemet,50,470,,,13,20
esw,kemet,50,470,,,16,16
esw,kemet,50,560,,,13,25
esw,kemet,50,560,,,18,16
esw,kemet,50,680,,,13,30
esw,kemet,50,820,,,13,35
esw,kemet,50,820,,,16,20
esw,kemet,50,1000,,,13,40
esw,kemet,50,1000,,,16,25
esw,kemet,50,1000,,,18,20
esw,kemet,50,1200,,,16,32
esw,kemet,50,1200,,,18,25
esw,kemet,50,1500,,,16,36
esw,kemet,50,1800,,,16,40
esw,kemet,50,1800,,,18,32
esw,kemet,50,2200,,,18,36
esw,kemet,63,15,,,5,11
esw,kemet,63,33,,,6.3,11
esw,kemet,63,56,,,8,12
esw,kemet,63,82,,,8,15
esw,kemet,63,82,,,10,12.5
esw,kemet,63,120,,,8,20
esw,kemet,63,120,,,10,16
esw,kemet,63,180,,,10,20
esw,kemet,63,180,,,13,16
esw,kemet,63,220,,,10,25
esw,kemet,63,270,,,10,30
esw,kemet,63,270,,,13,20
esw,kemet,63,270,,,16,16
esw,kemet,63,330,,,13,25
esw,kemet,63,390,,,18,16
esw,kemet,63,470,,,13,30
esw,kemet,63,470,,,16,20
esw,kemet,63,560,,,13,35
esw,kemet,63,560,,,16,25
esw,kemet,63,680,,,13,40
esw,kemet,63,680,,,18,20
esw,kemet,63,820,,,16,32
esw,kemet,63,820,,,18,25
esw,kemet,63,1000,,,16,36
esw,kemet,63,1000,,,18,32
esw,kemet,63,1200,,,18,32
esw,kemet,100,6.8,,,5,11
esw,kemet,100,15,,,6.3,11
esw,kemet,100,27,,,8,12
esw,kemet,100,39,,,8,15
esw,kemet,100,47,,,10,12.5
esw,kemet,100,56,,,8,20
esw,kemet,100,68,,,10,16
esw,kemet,100,82,,,10,20
esw,kemet,100,82,,,13,16
esw,kemet,100,100,,,10,25
esw,kemet,100,120,,,10,30
esw,kemet,100,120,,,13,20
esw,kemet,100,150,,,16,16
esw,kemet,100,180,,,13,25
esw,kemet,100,180,,,18,16
esw,kemet,100,220,,,13,30
esw,kemet,100,220,,,16,20
esw,kemet,100,270,,,13,35
esw,kemet,100,270,,,16,25
